track,implementation,model,speed,avg_delay_ms,packet_loss_bytes,throughput,pdr,network_lifetime
track1_as_is,B_senior_code,Existing,10000,127.89067022738078,208774.5,3.4749892262487756,0.6966798810703667,962.36
track1_as_is,B_senior_code,Existing,15000,126.22094058693047,325849.5,3.101011023622047,0.6114925373134328,973.14
track1_as_is,B_senior_code,Existing,20000,122.17898643022272,365698.5,2.934757915437561,0.5801587301587302,970.1999999999999
track1_as_is,B_senior_code,Existing,25000,124.42681855465295,403837.5,2.8332141732283462,0.5543111992071358,960.4
track1_as_is,B_senior_code,Existing,30000,126.42096900431923,471009.0,2.5164522417153994,0.5046085232903865,974.12
track1_as_is,B_senior_code,Existing,35000,123.70277614019844,505774.5,2.421086777668952,0.483069306930693,963.34
track1_as_is,B_senior_code,Existing,40000,125.07871512792141,579780.0,2.1405503937007873,0.42711022840119167,961.38
track1_as_is,B_senior_code,EAURP,10000,105.4856795014316,159550.0,4.833488895302969,0.7951388888888888,985.0
track1_as_is,B_senior_code,EAURP,15000,104.60759309210549,190342.0,4.614912434447659,0.7554563492063493,991.5
track1_as_is,B_senior_code,EAURP,20000,105.16075727447176,234802.5,4.23775880113672,0.6962724224082218,989.0
track1_as_is,B_senior_code,EAURP,25000,105.84266956834037,263786.5,4.000309584818362,0.658399126903753,983.5
track1_as_is,B_senior_code,EAURP,30000,105.58128084004683,294830.0,3.7756591110282813,0.6176762661370407,987.0
track1_as_is,B_senior_code,EAURP,35000,104.35863303287272,349388.0,3.3551926712694558,0.5481210318651502,987.5
track1_as_is,B_senior_code,EAURP,40000,105.98601758780349,375091.0,3.18744458628026,0.5155967578918447,992.0
track1_as_is,B_senior_code,ATEAURP,10000,90.86622078822202,86278,5.591223974763407,0.9108989657915673,1238
track1_as_is,B_senior_code,ATEAURP,15000,92.47949614257378,65841,5.681304964539007,0.931691818903892,1239
track1_as_is,B_senior_code,ATEAURP,20000,92.1824362631204,83225,5.5922525651144435,0.9132856006364359,1241
track1_as_is,B_senior_code,ATEAURP,25000,91.85758695731573,86901,5.509381703470032,0.90945194598888,1232
track1_as_is,B_senior_code,ATEAURP,30000,92.40994980863965,110829,5.404330969267139,0.8862370723945903,1237
track1_as_is,B_senior_code,ATEAURP,35000,91.95932694958266,108199,5.4129921011058455,0.8909235668789809,1238
track1_as_is,B_senior_code,ATEAURP,40000,92.92191383631716,110629,5.368270227808327,0.8855325914149443,1241
track1_as_is,B_senior_code,PSE-EAURP,10000,80.75781104941892,61320,5.711526813880126,0.9365079365079365,1229
track1_as_is,B_senior_code,PSE-EAURP,15000,80.19322463498006,58146,5.6779210110584515,0.9379968203497615,1235
track1_as_is,B_senior_code,PSE-EAURP,20000,80.73595068464704,53916,5.6678394964594805,0.9436060365369341,1230
track1_as_is,B_senior_code,PSE-EAURP,25000,81.21041770691626,75099,5.655454401268834,0.9197776012708498,1227
track1_as_is,B_senior_code,PSE-EAURP,30000,81.27482662855589,56880,5.6584369616288175,0.9395866454689984,1246
track1_as_is,B_senior_code,PSE-EAURP,35000,80.6141171959905,65137,5.692393391030684,0.9332803812549643,1240
track1_as_is,B_senior_code,PSE-EAURP,40000,80.755429777712,81825,5.51250863422292,0.915079365079365,1233
track1_as_is,B_senior_code,DRL-EAURP,10000,79.30323050491842,41090,5.8754672970843185,0.9586973788721207,1229
track1_as_is,B_senior_code,DRL-EAURP,15000,80.2932680305356,38196,5.81668085106383,0.9611111111111111,1234
track1_as_is,B_senior_code,DRL-EAURP,20000,80.23117527555296,42359,5.83510306845004,0.9554848966613673,1241
track1_as_is,B_senior_code,DRL-EAURP,25000,80.38511492033554,65973,5.642403137254902,0.9308975377283558,1236
track1_as_is,B_senior_code,DRL-EAURP,30000,80.29624341608493,61733,5.684191673212883,0.9380952380952381,1234
track1_as_is,B_senior_code,DRL-EAURP,35000,80.40814804404947,58451,5.737518110236221,0.9396346306592533,1240
track1_as_is,B_senior_code,DRL-EAURP,40000,80.22603239649571,60689,5.72253164556962,0.9356120826709062,1238
