attack,avg_delay_ms,avg_delay_ms_std,avg_hops,avg_hops_std,bytes_delivered,bytes_delivered_std,cmdp_checks,cmdp_checks_std,cmdp_violation_rate,cmdp_violation_rate_std,cmdp_violations,cmdp_violations_std,control_packets,control_packets_std,det_f1,det_f1_std,det_fn,det_fn_std,det_fp,det_fp_std,det_fpr,det_fpr_std,det_precision,det_precision_std,det_tn,det_tn_std,det_tp,det_tp_std,det_tpr,det_tpr_std,ecc_agreement_seconds,ecc_agreement_seconds_std,ecc_agreements,ecc_agreements_std,ecc_backend,ecc_encrypt_calls,ecc_encrypt_calls_std,ecc_encrypt_seconds,ecc_encrypt_seconds_std,ecc_keygen_seconds,ecc_keygen_seconds_std,ecc_seconds_per_agreement,ecc_seconds_per_agreement_std,ecc_seconds_per_packet,ecc_seconds_per_packet_std,eighty_pct_dead_round,eighty_pct_dead_round_std,energy_harvested,energy_harvested_std,energy_model,energy_spent,energy_spent_std,loss_dead_relay,loss_dead_relay_std,loss_link_failure,loss_link_failure_std,loss_malicious_drop,loss_malicious_drop_std,loss_no_route,loss_no_route_std,malicious_fraction,malicious_fraction_std,malicious_nodes,malicious_nodes_std,mean_residual_energy,mean_residual_energy_std,n_nodes,n_nodes_std,network_lifetime,network_lifetime_std,nodes_alive,nodes_alive_std,nodes_contested,nodes_contested_std,nodes_revoked,nodes_revoked_std,packet_loss_bytes,packet_loss_bytes_std,packets_lost,packets_lost_std,packets_received,packets_received_std,packets_sent,packets_sent_std,pdr,pdr_std,pdr_routable,pdr_routable_std,policy,rounds_completed,rounds_completed_std,route_cache_hits,route_cache_hits_std,route_cache_misses,route_cache_misses_std,route_discoveries,route_discoveries_std,route_failures,route_failures_std,seed,seed_std,speed,speed_std,throughput,throughput_std,total_energy_consumed,total_energy_consumed_std,n_runs,label,policy_label,sweep,attack_type,malicious_pct,mean_route_score,mean_route_score_std,score_weight_energy_b,score_weight_energy_b_std,score_weight_trust_a,score_weight_trust_a_std,action0_share,action0_share_std,mean_reward,mean_reward_std,q_states,q_states_std,q_updates,q_updates_std,states_preferring_action0,states_preferring_action0_std,trust_source,code_trust_mean,code_trust_mean_std,trust_signal_correlation,trust_signal_correlation_std,watchdog_trust_mean,watchdog_trust_mean_std,action_share_balanced,action_share_balanced_std,action_share_diversified,action_share_diversified_std,action_share_energy_surplus,action_share_energy_surplus_std,action_share_trust,action_share_trust_std,c_contested_events,c_contested_events_std,c_contested_final,c_contested_final_std,c_detection_passes,c_detection_passes_std,c_use_cmdp,c_use_cmdp_std,c_use_gan,c_use_gan_std,c_use_lstm,c_use_lstm_std,cmdp_backend,cmdp_constraint_checks,cmdp_constraint_checks_std,cmdp_constraint_violations,cmdp_constraint_violations_std,cmdp_lambda_final,cmdp_lambda_final_std,cmdp_lambda_max_seen,cmdp_lambda_max_seen_std,cmdp_lambda_saturated,cmdp_lambda_saturated_std,cmdp_using_fallback,cmdp_using_fallback_std,dqn_epsilon_final,dqn_epsilon_final_std,dqn_final_loss,dqn_final_loss_std,dqn_train_steps,dqn_train_steps_std,gan_backend,gan_epochs_run,gan_epochs_run_std,gan_fallback_reason,gan_final_d_loss,gan_final_d_loss_std,gan_final_g_loss,gan_final_g_loss_std,gan_threshold,gan_threshold_std,gan_using_fallback,gan_using_fallback_std,gan_val_auc,gan_val_auc_std,lstm_backend,lstm_epochs_run,lstm_epochs_run_std,lstm_eval_beats_persistence,lstm_eval_beats_persistence_std,lstm_eval_beats_seasonal_naive,lstm_eval_beats_seasonal_naive_std,lstm_eval_improvement_over_best_baseline,lstm_eval_improvement_over_best_baseline_std,lstm_eval_lstm_mae,lstm_eval_lstm_mae_std,lstm_eval_lstm_rmse,lstm_eval_lstm_rmse_std,lstm_eval_n_test,lstm_eval_n_test_std,lstm_eval_persistence_mae,lstm_eval_persistence_mae_std,lstm_eval_persistence_rmse,lstm_eval_persistence_rmse_std,lstm_eval_seasonal_naive_mae,lstm_eval_seasonal_naive_mae_std,lstm_eval_seasonal_naive_rmse,lstm_eval_seasonal_naive_rmse_std,lstm_final_loss,lstm_final_loss_std,lstm_horizon,lstm_horizon_std,lstm_using_fallback,lstm_using_fallback_std
blackhole,76.07909628041838,3.2423150414457496,5.853106750066701,0.4940903566240773,448037.0,23409.0,0.0,0.0,0.0,0.0,0.0,0.0,2685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.005933399996138178,4.0899998566601425e-05,40.0,0.0,x25519,747.5,5.5,0.03755849998378835,0.0012457000175345456,0.003278000001955661,3.3400016036466695e-05,0.00014833499990345443,1.0224999641650438e-06,5.026046772116965e-05,2.036297779265522e-06,200.0,0.0,0.0,0.0,linear,2175.262988281259,138.01757812499886,0.0,0.0,166.0,23.0,0.0,0.0,39.5,14.5,0.0,0.0,0.0,0.0,62.19276495227632,1.382721130185537,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,160163.5,27606.5,205.5,37.5,581.5,28.5,787.0,9.0,0.739392657374275,0.04466903928382271,0.7776879901776541,0.032404971309729635,AODV,200.0,0.0,175.0,24.0,612.0,33.0,612.0,33.0,39.5,14.5,20261409.0,500.0,20000.0,0.0,17.92148,0.9363600000000005,3780.7235047723675,138.27211301855323,2,AODV (reference baseline) | blackhole @ 0%,AODV (reference baseline),attack,blackhole,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackhole,67.6726995797261,2.8079181128754627,4.648760330578512,0.35123966942148765,271470.0,82203.0,0.0,0.0,0.0,0.0,0.0,0.0,3241.0,131.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.005431399997178232,5.1499995606718585e-05,40.0,0.0,x25519,623.5,114.5,0.03268310001840291,0.005313600007866626,0.002966050009490573,4.275000719644595e-05,0.00013578499992945582,1.2874998901679728e-06,5.2628581629779114e-05,1.1425382337499314e-06,200.0,0.0,0.0,0.0,linear,1316.300439453126,373.9910644531273,0.0,0.0,85.5,20.5,191.0,11.0,127.5,106.5,0.1,0.0,10.0,0.0,70.79318695710955,3.7579613436080024,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,6.5,1.5,309420.0,75912.0,404.0,97.0,347.0,105.0,751.0,8.0,0.46061350824648856,0.1349069133608896,0.5439540839416253,0.06851204071962133,AODV,200.0,0.0,115.5,34.5,635.5,26.5,635.5,26.5,127.5,106.5,20261409.0,500.0,20000.0,0.0,10.8588,3.2881199999999997,2920.6813042890435,375.7961343607999,2,AODV (reference baseline) | blackhole @ 10%,AODV (reference baseline),attack,blackhole,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackhole,64.30398445567391,1.3311261617907633,4.064718102042401,0.25490215112215586,186760.0,58837.0,0.0,0.0,0.0,0.0,0.0,0.0,3372.0,78.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.005737649991715443,0.00023194999266706873,40.0,0.0,x25519,670.5,5.5,0.0346341499571281,0.0013756499938608613,0.003217900011804886,0.0001644000003580004,0.0001434412497928861,5.798749816676726e-06,5.164085836919553e-05,1.6280764695455415e-06,200.0,0.0,0.0,0.0,linear,1195.7322753906228,47.89018554688187,0.0,0.0,75.0,0.0,356.0,82.0,91.0,11.0,0.2,0.0,20.0,0.0,72.01836002924698,0.519852031450327,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,8.0,1.0,404470.5,70011.5,522.0,93.0,239.5,76.5,761.5,16.5,0.3168363209744483,0.10732475285105501,0.35815611513992085,0.11703185478489123,AODV,200.0,0.0,96.5,33.5,665.0,50.0,665.0,50.0,91.0,11.0,20261409.0,500.0,20000.0,0.0,7.470400000000001,2.3534800000000002,2798.163997075302,51.98520314503253,2,AODV (reference baseline) | blackhole @ 20%,AODV (reference baseline),attack,blackhole,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackhole,60.01618594227373,1.9872511192459825,3.653883787445431,0.318718952280596,184790.0,44526.0,0.0,0.0,0.0,0.0,0.0,0.0,3299.0,163.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.005950800004939083,0.00018960001034429297,40.0,0.0,x25519,688.5,42.5,0.0380866000050446,0.002007499999308493,0.003422449995923671,0.00019185001474397723,0.00014877000012347708,4.74000025860733e-06,5.5349145014257155e-05,5.008549946222767e-07,200.0,0.0,0.0,0.0,linear,1099.6463378906228,160.62846679687385,0.0,0.0,78.5,15.5,373.0,28.0,76.5,52.5,0.3,0.0,30.0,0.0,72.96093620905543,1.6175164691221866,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,7.0,2.0,408977.0,51986.0,528.0,65.0,237.0,55.0,765.0,10.0,0.3107968382824183,0.07595812860499894,0.34059327525379796,0.05885952912376702,AODV,200.0,0.0,93.5,23.5,671.5,33.5,671.5,33.5,76.5,52.5,20261409.0,500.0,20000.0,0.0,7.3916,1.7810399999999995,2703.9063790944574,161.75164691221812,2,AODV (reference baseline) | blackhole @ 30%,AODV (reference baseline),attack,blackhole,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackhole,53.684778063023195,1.5913778066637079,2.7352380952380955,0.07809523809523822,98803.0,42123.0,0.0,0.0,0.0,0.0,0.0,0.0,3496.5,44.5,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.006228599981113803,0.0003361999988555908,40.0,0.0,x25519,659.5,66.5,0.036109799970290624,0.0035930999802076258,0.0034477499993954552,9.324999882664997e-05,0.0001557149995278451,8.404999971389773e-06,5.476071135637269e-05,7.35213419122956e-08,200.0,0.0,0.0,0.0,linear,736.675146484376,99.71958007812549,0.0,0.0,52.0,1.0,482.5,15.5,89.0,69.0,0.4,0.0,40.0,0.0,76.60281272400468,1.0291508733441077,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,9.5,0.5,480143.5,44655.5,623.5,52.5,125.0,50.0,748.5,2.5,0.1672256473049339,0.06735880309721087,0.18376119000831556,0.057285641947607296,AODV,200.0,0.0,47.5,17.5,701.0,20.0,701.0,20.0,89.0,69.0,20261409.0,500.0,20000.0,0.0,3.95212,1.68492,2339.718727599533,102.91508733441037,2,AODV (reference baseline) | blackhole @ 40%,AODV (reference baseline),attack,blackhole,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackhole,53.36883712044402,1.236223214086337,2.5981665393430102,0.22001527883880834,68566.5,25939.5,0.0,0.0,0.0,0.0,0.0,0.0,3609.5,171.5,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0055600999967282405,0.0001548999953229213,40.0,0.0,x25519,620.5,83.5,0.033356899986756616,0.003260100007537403,0.003034799983652192,0.0001145999940490583,0.000139002499918206,3.872499883073025e-06,5.402948326972529e-05,2.016699186921287e-06,200.0,0.0,0.0,0.0,linear,653.7354003906257,29.891162109377262,0.0,0.0,45.5,0.5,488.0,52.0,89.5,64.5,0.5,0.0,50.0,0.0,77.42481085847909,0.31068198747939846,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,11.0,2.0,479799.5,11000.5,623.0,13.0,87.0,32.0,710.0,19.0,0.12141605077232455,0.04182126061313497,0.13572747375994582,0.03330661714914508,AODV,200.0,0.0,38.0,21.0,672.0,2.0,672.0,2.0,89.5,64.5,20261409.0,500.0,20000.0,0.0,2.74266,1.0375800000000002,2257.5189141520905,31.06819874793996,2,AODV (reference baseline) | blackhole @ 50%,AODV (reference baseline),attack,blackhole,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grayhole,76.07909628041838,3.2423150414457496,5.853106750066701,0.4940903566240773,448037.0,23409.0,0.0,0.0,0.0,0.0,0.0,0.0,2685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.005864200002179132,0.00015360000361397397,40.0,0.0,x25519,747.5,5.5,0.04011799996442278,0.0013132000312907621,0.003287100009401911,0.0002666000054887263,0.0001466050000544783,3.840000090349349e-06,5.365954398620062e-05,1.3619699523299813e-06,200.0,0.0,0.0,0.0,linear,2175.262988281259,138.01757812499886,0.0,0.0,166.0,23.0,0.0,0.0,39.5,14.5,0.0,0.0,0.0,0.0,62.19276495227632,1.382721130185537,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,160163.5,27606.5,205.5,37.5,581.5,28.5,787.0,9.0,0.739392657374275,0.04466903928382271,0.7776879901776541,0.032404971309729635,AODV,200.0,0.0,175.0,24.0,612.0,33.0,612.0,33.0,39.5,14.5,20261409.0,500.0,20000.0,0.0,17.92148,0.9363600000000005,3780.7235047723675,138.27211301855323,2,AODV (reference baseline) | grayhole @ 0%,AODV (reference baseline),attack,grayhole,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grayhole,74.4486358278987,3.2183086207666562,5.5873715525593965,0.38113238444847797,412570.0,30700.0,0.0,0.0,0.0,0.0,0.0,0.0,2692.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.005595550006546546,6.644998939009383e-05,40.0,0.0,x25519,766.0,1.0,0.041984549980043084,0.0006021499957569176,0.003097850007179659,7.945000106701627e-05,0.00013988875016366365,1.6612497347523513e-06,5.480918464217134e-05,7.145441398364813e-07,200.0,0.0,0.0,0.0,linear,2040.1294921875046,137.80771484374452,0.0,0.0,140.0,21.0,83.5,12.5,28.5,4.5,0.1,0.0,10.0,0.0,63.55908792870268,1.366674467983998,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,202319.0,29974.0,252.0,38.0,542.5,34.5,794.5,3.5,0.6830239315101914,0.0464324528134496,0.7081669521350478,0.044114664553348504,AODV,200.0,0.0,154.0,31.0,640.5,34.5,640.5,34.5,28.5,4.5,20261409.0,500.0,20000.0,0.0,16.5028,1.2279999999999989,3644.0912071297316,136.66744679839985,2,AODV (reference baseline) | grayhole @ 10%,AODV (reference baseline),attack,grayhole,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grayhole,73.75819979271513,2.660852062803272,5.51080489680052,0.39729138328700664,380925.5,43906.5,0.0,0.0,0.0,0.0,0.0,0.0,2693.5,3.5,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.006195100002514664,0.00018760000239126384,40.0,0.0,x25519,778.0,11.0,0.041577800062441383,0.00015609998627041932,0.003591050011891639,0.0002253500024380628,0.0001548775000628666,4.690000059781604e-06,5.344975047835116e-05,5.550736105288499e-07,200.0,0.0,0.0,0.0,linear,2021.6734863281258,118.98666992186554,0.0,0.0,154.5,26.5,117.5,33.5,16.0,8.0,0.2,0.0,20.0,0.0,63.7488929326376,1.2009590176218126,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,233584.5,42944.5,288.0,52.0,506.0,49.0,794.0,3.0,0.6375218700975688,0.06412161915653991,0.6514063153233096,0.07219212013953263,AODV,200.0,0.0,146.0,29.0,648.0,32.0,648.0,32.0,16.0,8.0,20261409.0,500.0,20000.0,0.0,15.23702,1.7562599999999993,3625.11070673624,120.0959017621808,2,AODV (reference baseline) | grayhole @ 20%,AODV (reference baseline),attack,grayhole,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grayhole,74.21476259864836,3.467084096705335,5.577771931423647,0.4942804703230781,370015.0,31905.0,0.0,0.0,0.0,0.0,0.0,0.0,2694.5,0.5,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0062600500059488695,0.00012864999007433653,40.0,0.0,x25519,773.5,6.5,0.0420533499600424,5.8499899751041085e-06,0.0035627499983093003,0.00019135001457470935,0.00015650125014872175,3.2162497518584132e-06,5.4371517766569106e-05,4.644665228930885e-07,200.0,0.0,0.0,0.0,linear,1964.2553710937482,143.99218749998545,0.0,0.0,151.5,18.5,129.5,22.5,21.0,3.0,0.3,0.0,30.0,0.0,64.32937667631694,1.444708398684476,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,245200.5,31505.5,302.0,38.0,492.5,34.5,794.5,3.5,0.6200900481291725,0.04615521103644066,0.6371360278139939,0.04995654063450672,AODV,200.0,0.0,135.0,21.0,659.5,24.5,659.5,24.5,21.0,3.0,20261409.0,500.0,20000.0,0.0,14.8006,1.2761999999999993,3567.0623323683076,144.4708398684479,2,AODV (reference baseline) | grayhole @ 30%,AODV (reference baseline),attack,grayhole,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
